album_name,artist_name,album_id,cover_url
Club Azur,Kungs,1F27jLhFpbPMTB8DY15nTK,https://i.scdn.co/image/ab67616d0000b2736fe64a6925eacbe9462f69de
Этажи,Molchat Doma,1FHREwXgTQvqiG8q5KlRzc,https://i.scdn.co/image/ab67616d0000b273d4549c0e601fbe7e8622a2f5
O Papa É Pop,Engenheiros Do Hawaii,2kiDkXNxuQME25DEUWiNkw,https://i.scdn.co/image/ab67616d0000b2737ca89320e10bdc2bd343cdee
Could've Been Us,ItsLee,,
Playlist: The Best Of The Trammps,The Trammps,2fbPRtAt1i5f68lZegx1iB,https://i.scdn.co/image/ab67616d0000b273cd7db85678ea7ba817771fe7
Damn,byJ.,6P7kJQT9f04UGvUuhxQsyB,https://i.scdn.co/image/ab67616d0000b2732a4c74500e61a8cf9c34b11a
"VSQ Performs the Hits of 2021, Vol. 1",Vitamin String Quartet,6La6D0hm5BAJt7Ce6OOoFr,https://i.scdn.co/image/ab67616d0000b273d5d8c77bd616beed5b433a66
arrival of sunrise,Harry G's Beats,4eC4Y5mRvicJOcHX6h150k,https://i.scdn.co/image/ab67616d0000b273d1b45e95105e49e06b5001eb
BITE ME,Reneé Rapp,6ULnaZahd0zTGVUBVQO6mN,https://i.scdn.co/image/ab67616d0000b2731f22a0d14fbba8dd80b186a4
Daniel Powter,Daniel Powter,,
Lately EP,Still Woozy,4PeU1vYLxDKGzU3641YmFI,https://i.scdn.co/image/ab67616d0000b273dfe0edd0bc3902eb0b0e81b5
20 Grandes Sucessos De Vinicius De Moreas,Vinícius de Moraes,1nSSVKQelvXJtKEU3WSqac,https://i.scdn.co/image/ab67616d0000b273def245bd2d63b0aa42bd1337
Hey Lover / Stand by Me,The Daughters Of Eve,,
piedurties,rolands če,5ss9p5c6251KkQ9Flou6xV,https://i.scdn.co/image/ab67616d0000b2733fb5fbe12d0b32c69a25b838
Blue Coloured Mountain,Szymon,2Uu35xCulTa5fA3JnXt9tm,https://i.scdn.co/image/ab67616d0000b273d1b7ba92b28d13c34ccfc380
Love Lies,Khalid,4CEAev7neETRdqBFtzA8B9,https://i.scdn.co/image/ab67616d0000b2730b28544dd1fbe4c6e13d0a73
Ketanji,Kenzie,5yQ0XpUlcwx8FyuEUTa6UN,https://i.scdn.co/image/ab67616d0000b273284f6ebd8afa87ebd4752a5c
No One's Ever Asked For Their Money Back,Reflejitos,1mGC8f7vgzj98Kx5uvPkTU,https://i.scdn.co/image/ab67616d0000b27373f0ab3fc8595bd3843c51b9
Миллион роз,Alla Pugacheva,3v6ivHYrtsaYhGWVkRp0p8,https://i.scdn.co/image/ab67616d0000b2739ea7653617fbf254a7c106f2
embraceable,Hers Lake,2IRHiW8GfGY0yZ3BqoWxVG,https://i.scdn.co/image/ab67616d0000b273038e300dd86338daa3d04f6d
peas and love,wavcrush,43PoomxI6ow9kRZL3ihXx4,https://i.scdn.co/image/ab67616d0000b273d8dd4d618b7826f9daf798b8
Music From Chasing Happiness,DNCE,,
Mind Over Matter,Young the Giant,3cSzKBfylctgJwqorcNEo2,https://i.scdn.co/image/ab67616d0000b2735d1a1b0e0f3e0fc586393092
Ten Clouds,Katashi Kaitō,6d8OveRgXwfYuEeYzz9Zcf,https://i.scdn.co/image/ab67616d0000b2736757d2348e7464bf9dff7b2a
Damat Halayı,Rumeli Ayhan,2caKKaz7JWfjGFLWjbnlF1,https://i.scdn.co/image/ab67616d0000b2731d318189e0e9415552c35aaf
dreams,artiémo,5vZbJ6IoQF4AhG3jN3fqBl,https://i.scdn.co/image/ab67616d0000b273526c7df874859bcf8d662640
Easy Does It,Isabelle Antena,0htWsoC4ORq9URJmrBEiCI,https://i.scdn.co/image/ab67616d0000b273f071f24d430ad55015100059
"Baby, It's Okay",flora cash,0C61FN9PR7AocB3A0E4Fvw,https://i.scdn.co/image/ab67616d0000b273ca63e1680550e9f405f5ae5b
river,love_eight,6r8swcvvedkHutO8AKvGl1,https://i.scdn.co/image/ab67616d0000b273898292d83b3b83e623ddf62a
Memories (feat. Kid Cudi),David Guetta,6YjGFGvxaNPwD2sQjECHSX,https://i.scdn.co/image/ab67616d0000b27332f8cf72a026af196e4ffcb4
Acústico Jorge Ben Jor A + B,Jorge Ben Jor,3FgZjiBnONZ4zNsNJbvsxw,https://i.scdn.co/image/ab67616d0000b273d0dd9c7d990c3f50d0d3c078
liquid life,créature sonore,25CDKJtJbb30eSKxhnzedg,https://i.scdn.co/image/ab67616d0000b273f986cc292882a37b2f8e2a76
Chill Music,Deep Meditation,3euV1KBoxhmKDrqRALNrXQ,https://i.scdn.co/image/ab67616d0000b27390025a8c0ea82bcef3a3433f
When The World Comes Down,The All-American Rejects,5doKZJ05r4UbAp9rmpDRDD,https://i.scdn.co/image/ab67616d0000b2733ebbaf69ee21176cc04c9182
Arrival,ABBA,1V6a99EbTTIegOhWoPxYI9,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
Workout playlist 2020,OneRepublic,,
Halo,Bakar,2VJD6kU8nmxXVrScRyddqV,https://i.scdn.co/image/ab67616d0000b273864f946221840eced94a2243
I Think I Left the Stove On,Hotel Ugly,33QDA3HhsTPmeCwR5Mk9gx,https://i.scdn.co/image/ab67616d0000b273934e5b0ab5e1f73519e6b1d2
